#include "libanogs.so.h"


pointer PTR_LOOP_0061fa00;
undefined FUN_002bb660;
string s_#T#E#R#S#I#G#START#_0062da10;
undefined1 DAT_0062db6e;
string s_@T@E@R@S@C@I@START@_0062db50;
long DAT_0066ecf0;
undefined2 DAT_0066ec50;
undefined *DAT_0066ecf0;
char DAT_0066ec08;
undefined FUN_005d3508;
int DAT_0062da00;
undefined1 DAT_0066ebf8;
undefined1 DAT_0066ebfc;
undefined4 DAT_0066e7b0;
undefined4 DAT_0066e7b4;
undefined DAT_0066e7b8;
undefined DAT_0066e7c8;
undefined DAT_0066e7d8;
undefined1 DAT_0066e7e7;
undefined8 UNK_0066e7c0;
undefined8 UNK_0066e7d0;
undefined7 UNK_0066e7e0;
undefined7 UNK_0066e7e8;
undefined8 UNK_0066e7ef;
long *DAT_0066ecf8;
undefined UNK_0019d4b8;
uint DAT_0062da30;
undefined DAT_0066ec09;
long *DAT_0066ec00;
undefined DAT_00195dff;
undefined FUN_005ed9b0;
undefined DAT_0019885a;
undefined FUN_005edee0;
undefined DAT_00198bff;
undefined FUN_005edfa4;
undefined DAT_0019943d;
undefined DAT_0019a8b5;
undefined DAT_0019a8b8;
undefined DAT_0019ac6d;
undefined DAT_0019ac72;
undefined DAT_00196eff;
undefined DAT_00196f00;
undefined DAT_00197867;
undefined DAT_00196aca;
undefined DAT_00199802;
undefined FUN_002e8bd8;
undefined FUN_002e89f4;
undefined *DAT_0066ec52;
int DAT_0066ece0;
undefined DAT_0066ec5a;
undefined LAB_00000004;
char DAT_0066e7f8;
char DAT_0066ece4;
undefined *PTR_FUN_0062da08;
undefined DAT_00195a5f;
undefined DAT_00195e04;
undefined FUN_002c6dcc;
undefined1 DAT_0066e7f8;
int DAT_0066ece8;
undefined DAT_0019a8bd;
undefined *PTR_FUN_0061fa18;
undefined1 DAT_0062de0f;
pointer PTR_LAB_0062dfa0;
undefined *PTR_LAB_0062dfc0;
undefined DAT_0019738b;
undefined DAT_0019c881;
undefined DAT_0019944c;
undefined DAT_0019c3ad;
undefined *PTR_LAB_0062e000;
undefined *PTR_LAB_0062e030;
undefined *PTR_LAB_0062e080;
pointer PTR_FUN_0062e0d0;
long DAT_0066ecf8;
pointer PTR_FUN_0062e100;
int DAT_0062dc38;
undefined8 *DAT_0066ee08;
undefined *PTR_FUN_00625398;
undefined *PTR_FUN_006253f0;
undefined *PTR_DAT_0062df50;
undefined8 DAT_0066ed00;
undefined DAT_00197fa5;
undefined DAT_0019b672;
undefined DAT_0019885f;
undefined DAT_00199451;
undefined DAT_00199807;
undefined *PTR_FUN_0062e130;
undefined FUN_002d5a38;
undefined8 DAT_0066ed08;
undefined *DAT_0066ed10;
undefined FUN_002d5af0;
undefined8 DAT_0066ed18;
undefined8 DAT_0066ed20;
undefined *DAT_0066ed28;
undefined8 DAT_0066ed30;
undefined8 DAT_0066ed38;
undefined *DAT_0066ed40;
undefined8 DAT_0066ed48;
undefined8 DAT_0066ed50;
undefined *DAT_0066ed58;
undefined8 DAT_0066ed60;
undefined8 DAT_0066ed68;
undefined *DAT_0066ed70;
undefined8 DAT_0066ed78;
undefined8 DAT_0066ed80;
undefined *DAT_0066ed88;
undefined8 DAT_0066ed90;
undefined8 DAT_0066ed98;
undefined *DAT_0066eda0;
undefined8 DAT_0066eda8;
undefined8 DAT_0066edb0;
undefined *DAT_0066edb8;
undefined8 DAT_0066edc0;
undefined8 DAT_0066edc8;
undefined *DAT_0066edd0;
undefined8 DAT_0066edd8;
undefined8 DAT_0066ede0;
undefined *DAT_0066ede8;
char *DAT_0066edf0;
char *DAT_0066edf8;
undefined *DAT_0066ee00;
undefined FUN_002d47d0;
undefined FUN_002d4988;
undefined FUN_002d4d20;
undefined FUN_002d5190;
undefined FUN_002d5270;
undefined FUN_002d5540;
undefined FUN_002d55f4;
undefined FUN_002d56ac;
undefined FUN_002d5868;
pointer PTR_FUN_0062e150;
undefined *PTR_FUN_0062e180;
undefined DAT_0062e1b0;
undefined *PTR_LAB_0062e1e0;
undefined *PTR_LAB_0062e2a8;
undefined DAT_0019e050;
long *DAT_0066ee18;
undefined DAT_001962eb;
byte DAT_0066ee10;
byte DAT_0066ee14;
undefined DAT_00198863;
undefined FUN_002d803c;
undefined *PTR_LAB_0062e2c0;
undefined DAT_00199029;
long DAT_0066ee18;
undefined DAT_0019bb67;
